model_id	host_strain_name	host_strain_nomenclature	engraftment_site	engraftment_type	sample_type	sample_state	passage_number	publications	Provider
HCI-012	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-012	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-013	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	PMID: 35221336	HCI-BCM
HCI-013	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	PMID: 35221336	HCI-BCM
HCI-015	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-015	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-016	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-016	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-017	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-017	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-018	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-018	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-019	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
HCI-019	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	PMID: 35221336	HCI-BCM
BCM-0002	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-0046	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-0104	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-0132	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-2147	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-2277	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-2665	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3107	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3143	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3204	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3472	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3887	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3904	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3936	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-3963	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4013	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4169	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4175	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4189	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Ascites cells	Not provided	0		HCI-BCM
BCM-4195	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4272	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4664	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4849	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-4888	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-5097	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-5156	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-5438	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-5471	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-6257	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-7482	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-7649	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-7821	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
BCM-8563	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Orthotopic; mammary gland	Not provided	Tissue Fragment	Not provided	0		HCI-BCM
HCI-008	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	heterotopic	Pleural effusion	Fresh	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-014	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	Pleural effusion	Frozen donor specimen	0	PMID: 35221336	HCI-BCM
HCI-032EI	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	PDX tissue fragment into OVX mice	Fresh	1	PMID: 35221336	HCI-BCM
HCI-040EI	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	PDX tissue fragment into OVX mice	Fresh	1	PMID: 35221336	HCI-BCM
HCI-042	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-043	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-044	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-044EI	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	PDX tissue fragment into OVX mice	Fresh	1	PMID: 35221336	HCI-BCM
HCI-045	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-046	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-047	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	heterotopic	Ascites	Frozen donor specimen	0	PMID: 35221336	HCI-BCM
HCI-048	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-049	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Cleared mammary fat pad	orthotopic	Breast	Frozen donor specimen	0	PMID: 35221336	HCI-BCM
HCI-050	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	heterotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-051	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	heterotopic	Ascites	Fresh	0	PMID: 35221336	HCI-BCM
HCI-052	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-053	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
HCI-054	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	Cleared mammary fat pad	orthotopic	Breast	Fresh	0	PMID: 35221336	HCI-BCM
425	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
B1001	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1002/C0997	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1003	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1006	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1008	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1011	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1015	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1021	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1022	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1025	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B1029	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8001	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8008	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8009	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8010	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8016	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8020	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8021	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8025	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8026	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8032	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8034	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8043	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8046	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8048	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8056	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8057	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8061	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8063	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8069	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8078	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8086	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8087	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8090	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8093	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8097	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8101	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8104	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8114	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8120	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8131	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
B8134	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
BCX.006	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.009	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.010	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.011	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.017	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.022	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.024	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.042	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.051	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.055	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.060	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.065	Nude	Nude	Flank (s.c)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.066	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.070	Nude	Nude	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.080	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.084	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.087	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.092	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.094	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.095	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.096	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.099	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.100	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.102	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.104	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BCX.105	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Mammary Fat-Pad (direct)	Not provided	Tumor Solid	Not provided	0	PMID: 29093017	MDAnderson
BM8095	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
BS8088	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
BS8107	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C0998	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C0999	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1003	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1004	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1005	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1008	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1009	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1010	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1011	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1012	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1013	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1014	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1016	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1018	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1021	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1022	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1023	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1025	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1026	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1028	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1030	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1031	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1032	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1033	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
